AREACD,AREANM
TLM50,Aberdeen City and Aberdeenshire
TLM71,Angus and Dundee City
TLN0D,Antrim and Newtownabbey
TLN09,Ards and North Down
TLN07,"Armagh City, Banbridge and Craigavon"
TLI52,Barking & Dagenham and Havering
TLI71,Barnet
TLE31,"Barnsley, Doncaster and Rotherham"
TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire"
TLH24,Bedford
TLH2,Bedfordshire and Hertfordshire
TLN06,Belfast
TLJ11,Berkshire
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
TLI51,Bexley and Greenwich
TLG31,Birmingham
TLD41,Blackburn with Darwen
TLD42,Blackpool
TLK24,"Bournemouth, Christchurch and Poole"
TLE41,Bradford
TLH17,Breckland and South Norfolk
TLI72,Brent
TLL17,Bridgend and Neath Port Talbot
TLJ21,Brighton and Hove
TLK11,"Bristol, City of"
TLI61,Bromley
TLJ13,Buckinghamshire
TLM61,"Caithness and Sutherland, and Ross and Cromarty"
TLE44,Calderdale and Kirklees
TLH12,Cambridgeshire CC
TLI31,Camden and City of London
TLL22,Cardiff and Vale of Glamorgan
TLN0C,Causeway Coast and Glens
TLH25,Central Bedfordshire
TLJ36,Central Hampshire
TLL15,Central Valleys
TLD6,Cheshire
TLD62,Cheshire East
TLD63,Cheshire West and Chester
TLD47,Chorley and West Lancashire
TLM75,City of Edinburgh
TLM72,Clackmannanshire and Fife
TLL13,Conwy and Denbighshire
TLK3,Cornwall and Isles of Scilly
TLK30,Cornwall and Isles of Scilly
TLG33,Coventry
TLI62,Croydon
TLD1,Cumbria
TLC13,Darlington
TLF11,Derby
TLF1,Derbyshire and Nottinghamshire
TLN0A,Derry City and Strabane
TLK4,Devon
TLK43,Devon CC
TLK25,Dorset
TLK2,Dorset and Somerset
TLG36,Dudley
TLM92,Dumfries and Galloway
TLC14,Durham
TLI73,Ealing
TLH,East
TLH,East of England
TLH1,East Anglia
TLM93,East Ayrshire and North Ayrshire mainland
TLD12,East Cumbria
TLF12,East Derbyshire
TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond"
TLJ44,East Kent
TLD46,East Lancashire
TLM73,East Lothian and Midlothian
TLD71,East Merseyside
TLF,East Midlands
TLE12,East Riding of Yorkshire
TLJ26,East Surrey
TLJ22,East Sussex CC
TLL2,East Wales
TLE1,East Yorkshire and Northern Lincolnshire
TLM7,Eastern Scotland
TLI54,Enfield
TLH3,Essex
TLH34,Essex Haven Gateway
TLH37,Essex Thames Gateway
TLM76,Falkirk
TLN0G,Fermanagh and Omagh
TLL23,Flintshire and Wrexham
TLM82,Glasgow City
TLK13,Gloucestershire CC
TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
TLD3,Greater Manchester
TLD37,Greater Manchester North East
TLD36,Greater Manchester North West
TLD35,Greater Manchester South East
TLD34,Greater Manchester South West
TLL16,Gwent Valleys
TLL12,Gwynedd
TLI41,Hackney and Newham
TLJ3,Hampshire and Isle of Wight
TLI43,Haringey and Islington
TLI74,Harrow and Hillingdon
TLC11,Hartlepool and Stockton-on-Tees
TLH36,Heart of Essex
TLG11,"Herefordshire, County of"
TLG1,"Herefordshire, Worcestershire and Warwickshire"
TLH23,Hertfordshire CC
TLM6,Highlands and Islands
TLI75,Hounslow and Richmond upon Thames
TLI4,Inner London - East
TLI3,Inner London - West
TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire"
TLM62,"Inverness and Nairn, Moray, and Badenoch and Strathspey"
TLL11,Isle of Anglesey
TLJ34,Isle of Wight
TLI33,Kensington & Chelsea and Hammersmith & Fulham
TLJ4,Kent
TLJ43,Kent Thames Gateway
TLE11,"Kingston upon Hull, City of"
TLI45,Lambeth
TLD4,Lancashire
TLD44,Lancaster and Wyre
TLE42,Leeds
TLF21,Leicester
TLF22,Leicestershire CC and Rutland
